,41
241826,smurf.
292391,smurf.
392127,neptune.
417224,smurf.
355378,neptune.
476964,neptune.
94190,smurf.
358741,neptune.
307732,smurf.
376226,neptune.
109242,neptune.
59409,neptune.
352930,neptune.
95541,smurf.
294964,smurf.
388220,neptune.
452377,neptune.
313597,smurf.
115876,neptune.
151151,smurf.
125379,neptune.
206808,smurf.
124190,neptune.
304414,smurf.
302118,smurf.
209775,smurf.
298067,smurf.
205675,smurf.
245592,smurf.
407809,smurf.
479743,neptune.
245280,smurf.
179883,smurf.
172240,smurf.
100273,smurf.
122190,neptune.
95972,smurf.
102253,smurf.
320571,smurf.
119097,neptune.
118101,neptune.
380453,neptune.
474153,neptune.
293445,smurf.
419996,smurf.
243142,smurf.
364236,neptune.
415358,smurf.
97393,smurf.
171937,smurf.
402114,smurf.
133983,smurf.
360941,neptune.
425843,smurf.
238671,smurf.
260873,smurf.
367508,neptune.
338466,smurf.
426147,smurf.
325422,smurf.
446961,smurf.
244437,smurf.
294719,smurf.
332086,smurf.
100258,smurf.
371097,smurf.
288065,smurf.
60834,neptune.
333698,smurf.
46208,smurf.
364342,neptune.
211202,smurf.
386648,neptune.
109105,neptune.
363554,neptune.
472093,neptune.
271941,smurf.
193428,smurf.
170651,smurf.
9746,smurf.
268698,smurf.
338954,smurf.
10439,smurf.
121913,neptune.
338702,smurf.
237878,smurf.
330800,smurf.
97022,smurf.
73204,neptune.
294000,smurf.
229611,smurf.
440442,smurf.
63662,neptune.
131291,smurf.
361717,neptune.
431604,smurf.
289824,smurf.
300218,smurf.
46185,smurf.
67826,neptune.
341997,smurf.
60704,neptune.
172864,smurf.
285706,smurf.
113844,neptune.
328637,smurf.
375234,neptune.
153126,smurf.
461547,neptune.
202893,smurf.
190926,smurf.
311117,smurf.
421268,smurf.
44842,smurf.
261404,smurf.
10572,smurf.
57622,neptune.
153293,smurf.
276523,smurf.
161331,smurf.
205665,smurf.
417939,smurf.
9666,smurf.
97453,smurf.
363043,neptune.
318725,smurf.
211452,smurf.
156687,smurf.
227559,smurf.
375187,neptune.
96192,smurf.
445687,smurf.
260770,smurf.
472568,neptune.
435796,smurf.
448080,smurf.
215406,smurf.
213289,smurf.
244934,smurf.
377036,neptune.
293078,smurf.
243097,smurf.
470612,neptune.
9544,smurf.
248420,smurf.
417449,smurf.
111903,neptune.
95863,smurf.
72632,neptune.
449107,smurf.
427625,smurf.
421181,smurf.
475602,neptune.
404080,smurf.
47614,smurf.
417703,smurf.
187128,smurf.
374301,neptune.
272535,smurf.
179118,smurf.
436698,smurf.
126109,neptune.
473645,neptune.
356480,neptune.
247535,smurf.
173486,smurf.
172069,smurf.
381899,neptune.
408521,smurf.
384871,neptune.
245859,smurf.
195958,smurf.
286854,smurf.
262673,smurf.
289981,smurf.
271176,smurf.
407262,smurf.
392889,neptune.
274713,smurf.
487219,smurf.
228703,smurf.
364656,neptune.
318590,smurf.
465592,neptune.
10405,smurf.
242557,smurf.
354072,neptune.
192255,smurf.
92753,smurf.
424916,smurf.
304351,smurf.
445062,smurf.
97629,smurf.
43519,smurf.
133272,smurf.
385435,neptune.
248249,smurf.
439101,smurf.
169685,smurf.
261425,smurf.
377472,neptune.
215606,smurf.
188900,smurf.
370826,smurf.
259926,smurf.
96666,smurf.
92918,smurf.
337685,smurf.
380853,neptune.
158190,smurf.
232582,smurf.
478595,neptune.
385399,neptune.
381749,neptune.
278523,smurf.
365902,neptune.
102565,smurf.
388388,neptune.
304564,smurf.
397550,smurf.
356026,neptune.
435182,smurf.
428135,smurf.
372926,neptune.
350125,neptune.
121977,neptune.
115601,neptune.
275732,smurf.
479413,neptune.
203883,smurf.
239657,smurf.
256998,smurf.
67465,neptune.
323610,smurf.
61188,neptune.
465469,neptune.
160024,smurf.
310020,smurf.
361905,neptune.
445986,smurf.
469379,neptune.
111402,neptune.
66035,neptune.
309112,smurf.
155415,smurf.
235285,smurf.
129943,smurf.
425011,smurf.
339785,smurf.
363172,neptune.
368502,neptune.
202758,smurf.
209473,smurf.
208334,smurf.
212030,smurf.
49372,smurf.
288758,smurf.
204853,smurf.
399993,smurf.
290132,smurf.
113519,neptune.
205276,smurf.
112256,neptune.
178761,smurf.
57091,neptune.
221895,smurf.
166213,smurf.
306088,smurf.
158196,smurf.
376782,neptune.
385432,neptune.
124850,neptune.
434305,smurf.
399746,smurf.
249504,smurf.
363388,neptune.
59167,neptune.
118432,neptune.
438065,smurf.
64244,neptune.
233132,smurf.
433191,smurf.
445435,smurf.
391130,neptune.
207696,smurf.
415179,smurf.
378392,neptune.
297380,smurf.
126603,neptune.
44979,smurf.
471001,neptune.
221276,smurf.
467534,neptune.
476340,neptune.
125806,neptune.
435168,smurf.
379868,neptune.
399152,smurf.
231447,smurf.
239920,smurf.
154061,smurf.
469240,neptune.
99559,smurf.
176459,smurf.
296089,smurf.
373818,neptune.
419124,smurf.
178620,smurf.
132268,smurf.
61391,neptune.
220454,smurf.
382866,neptune.
191537,smurf.
228186,smurf.
179122,smurf.
430461,smurf.
198247,smurf.
375743,neptune.
471514,neptune.
374370,neptune.
190813,smurf.
404449,smurf.
337436,smurf.
365613,neptune.
304868,smurf.
386388,neptune.
98047,smurf.
60450,neptune.
221822,smurf.
159115,smurf.
166853,smurf.
476566,neptune.
323838,smurf.
342029,smurf.
223003,smurf.
435746,smurf.
368051,neptune.
182991,smurf.
371127,smurf.
119806,neptune.
422909,smurf.
185814,smurf.
263780,smurf.
50198,smurf.
387991,neptune.
199546,smurf.
203058,smurf.
100894,smurf.
240213,smurf.
415821,smurf.
283922,smurf.
310677,smurf.
232504,smurf.
200586,smurf.
408360,smurf.
411439,smurf.
429602,smurf.
93850,smurf.
428555,smurf.
418466,smurf.
342030,smurf.
300407,smurf.
96055,smurf.
420563,smurf.
394170,neptune.
278647,smurf.
49065,smurf.
251510,smurf.
259981,smurf.
467033,neptune.
47738,smurf.
367265,neptune.
100117,smurf.
310610,smurf.
50060,smurf.
319472,smurf.
170342,smurf.
257166,smurf.
336864,smurf.
416110,smurf.
67624,neptune.
462300,neptune.
489298,smurf.
253703,smurf.
291451,smurf.
240488,smurf.
297174,smurf.
111559,neptune.
394623,neptune.
375452,neptune.
366482,neptune.
206631,smurf.
321713,smurf.
387481,neptune.
62537,neptune.
215835,smurf.
340232,smurf.
189214,smurf.
475321,neptune.
308006,smurf.
54856,neptune.
260390,smurf.
290901,smurf.
150640,smurf.
249924,smurf.
488134,smurf.
426344,smurf.
440754,smurf.
474551,neptune.
336795,smurf.
244000,smurf.
123493,neptune.
246497,smurf.
428435,smurf.
410822,smurf.
55442,neptune.
59494,neptune.
473547,neptune.
97005,smurf.
242556,smurf.
349481,neptune.
473886,neptune.
471757,neptune.
120308,neptune.
433340,smurf.
193286,smurf.
163195,smurf.
185864,smurf.
207746,smurf.
300480,smurf.
303047,smurf.
354490,neptune.
447581,smurf.
126797,neptune.
150069,smurf.
204463,smurf.
375461,neptune.
188054,smurf.
268551,smurf.
310938,smurf.
122526,neptune.
337958,smurf.
431862,smurf.
124218,neptune.
485683,neptune.
269733,smurf.
351064,neptune.
339039,smurf.
448062,smurf.
136259,smurf.
269038,smurf.
250893,smurf.
315267,smurf.
438246,smurf.
57706,neptune.
175509,smurf.
