,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
141906,0,1,11,2,292,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,102,50,40,5,1,0,1,2,0,0
79150,0,1,7,2,33,565,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,10,0,0,169,171,78,0,1,2,0,0,0,0
39480,0,1,7,2,162,239,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,10,0,14,33,153,78,0,3,10,0,0,16,16
4799,0,1,7,2,89,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,10,0,0,12,171,78,0,8,5,0,0,0,0
481921,0,2,9,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,7,0,201,0,0,37,55,0,0,0,0,0
79641,0,1,7,2,105,164,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,40,32,171,78,0,3,4,3,0,0,0
18949,0,1,7,2,141,335,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,0,10,0,12,15,171,78,0,6,2,0,0,0,0
35152,0,1,7,2,162,240,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,10,0,22,201,171,78,0,0,0,0,0,0,0
40734,0,1,7,2,164,431,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,10,0,0,201,165,76,1,0,0,0,0,1,1
80988,0,1,7,2,57,380,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,171,78,0,60,3,0,0,0,0
482439,33,2,9,2,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,201,0,0,50,60,0,0,0,0,0
86453,0,1,11,2,260,107,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,181,83,38,10,0,0,0,0,0,0
486247,0,1,7,2,66,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,33,141,171,78,0,1,2,0,0,0,0
81236,0,1,7,2,109,264,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,10,0,18,91,171,78,0,1,4,0,0,0,0
106912,0,1,7,2,137,367,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,10,0,0,4,171,78,0,19,5,0,0,0,0
396649,2,1,11,2,246,98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,40,10,107,60,17,9,2,0,0,0,0
28381,0,1,7,2,157,327,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,43,0,0,0,0,10,0,13,55,171,78,0,2,4,0,0,0,0
458595,0,1,7,2,141,522,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,10,0,0,12,171,78,0,8,17,0,0,13,12
33636,0,1,7,2,166,238,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,10,0,0,201,171,78,0,0,0,0,0,0,0
459482,0,1,7,2,113,570,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,106,171,78,0,1,2,0,0,1,0
78484,0,1,7,2,157,296,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,10,0,0,201,165,76,1,0,0,0,0,0,0
33529,0,1,7,2,155,160,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,10,0,0,201,171,78,0,0,0,0,0,0,0
29845,0,1,7,2,194,311,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,10,0,0,201,171,78,0,0,0,0,0,0,0
21220,0,1,7,2,100,577,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,201,171,78,0,0,0,0,0,0,0
34358,0,1,7,2,139,342,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,14,171,78,0,7,4,0,0,0,0
486891,0,1,6,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,0,0,201,20,10,1,10,0,9,0,0,0
458279,42,2,9,2,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,201,0,0,49,60,0,0,0,0,0
457754,54,2,9,2,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,201,0,0,48,57,0,0,0,0,0
348736,0,2,9,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,201,0,0,27,54,0,0,0,0,0
85421,0,1,7,2,84,334,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,10,0,0,176,171,78,0,0,1,1,1,0,0
484120,0,1,7,2,122,62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,0,0,95,171,78,0,1,2,0,0,7,4
486755,0,1,7,2,187,183,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,37,0,0,0,0,10,0,8,201,171,78,0,0,0,0,0,0,0
42111,0,2,1,2,20,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,72,0,0,0,0,10,1,0,103,57,51,2,1,0,0,0,0,0
88115,0,1,7,2,143,391,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,20,0,0,0,0,10,0,14,201,171,78,0,0,0,0,0,0,0
39461,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,9,10,0,40,46,43,78,0,2,4,0,0,14,11
30747,0,1,7,2,167,440,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,10,0,0,38,171,78,0,3,3,0,0,0,0
484958,0,1,11,2,304,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,201,95,39,1,0,0,0,1,0,0
83331,1,1,11,2,221,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,40,82,124,33,6,1,1,0,0,1,0
20631,0,1,7,2,68,485,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,10,0,10,110,171,78,0,1,4,0,0,0,0
142814,0,1,11,2,231,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,24,114,66,16,4,1,0,0,0,0
107712,0,1,7,2,79,186,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,51,0,0,0,0,10,0,4,98,171,78,0,1,3,0,0,0,0
26445,0,1,7,2,76,418,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,10,0,0,201,171,78,0,0,0,0,0,0,0
348503,37,2,9,2,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,201,0,0,51,60,0,0,0,0,0
347640,0,2,10,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,0,0,201,147,69,1,1,0,0,0,0,0
41251,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,0,0,2,140,78,0,27,21,0,0,26,19
35846,24,1,7,2,182,74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,10,0,0,201,168,77,1,0,0,0,0,0,0
18732,0,1,0,2,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,0,150,13,7,3,1,12,0,0,0,0
343271,0,2,10,2,24,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,201,154,71,1,0,0,0,0,0,0
81846,0,1,7,2,59,532,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,10,0,9,101,171,78,0,1,3,0,0,0,0
89880,0,1,7,2,145,513,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,40,49,171,78,0,2,2,0,0,0,0
41888,1,1,11,2,270,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,40,37,135,75,5,3,1,0,0,0,0
138517,0,1,7,2,71,277,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,0,0,33,171,78,0,3,3,0,0,0,0
