,41
141906,normal.
79150,normal.
39480,normal.
4799,normal.
481921,normal.
79641,normal.
18949,normal.
35152,normal.
40734,normal.
80988,normal.
482439,normal.
86453,normal.
486247,normal.
81236,normal.
106912,normal.
396649,normal.
28381,normal.
458595,normal.
33636,normal.
459482,normal.
78484,normal.
33529,normal.
29845,normal.
21220,normal.
34358,normal.
486891,normal.
458279,normal.
457754,normal.
348736,normal.
85421,normal.
484120,normal.
486755,normal.
42111,normal.
88115,normal.
39461,normal.
30747,normal.
484958,normal.
83331,normal.
20631,normal.
142814,normal.
107712,normal.
26445,normal.
348503,normal.
347640,normal.
41251,normal.
35846,normal.
18732,normal.
343271,normal.
81846,normal.
89880,normal.
41888,normal.
138517,normal.
23900,normal.
30600,normal.
53420,normal.
456483,normal.
481512,normal.
483647,normal.
13769,normal.
16155,normal.
146238,normal.
144003,normal.
86401,normal.
30384,normal.
32022,normal.
482543,normal.
139066,normal.
37047,normal.
2482,normal.
451147,normal.
37137,normal.
493256,normal.
1791,normal.
85068,normal.
2425,normal.
137005,normal.
77728,normal.
452604,normal.
148073,normal.
457532,normal.
19899,normal.
88049,normal.
25079,normal.
457817,normal.
138892,normal.
459798,normal.
80651,normal.
344366,normal.
3258,normal.
6357,normal.
61,normal.
91415,normal.
19135,normal.
451287,normal.
90445,normal.
12685,normal.
484191,normal.
13075,normal.
148942,normal.
26913,normal.
14091,normal.
343334,normal.
14824,normal.
145689,normal.
83154,normal.
76122,normal.
38391,normal.
17627,normal.
103865,normal.
78356,normal.
11949,normal.
450872,normal.
137135,normal.
348700,normal.
79886,normal.
6662,normal.
78477,normal.
34334,normal.
348275,normal.
5062,normal.
33866,normal.
143986,normal.
371919,normal.
458780,normal.
481992,normal.
371734,normal.
107931,normal.
451314,normal.
450635,normal.
108071,normal.
139265,normal.
345565,normal.
13904,normal.
27899,normal.
21549,normal.
492991,normal.
453840,normal.
12270,normal.
41924,normal.
39547,normal.
456122,normal.
29228,normal.
75022,normal.
81814,normal.
347831,normal.
20285,normal.
11741,normal.
91114,normal.
490992,normal.
487162,normal.
7553,normal.
50922,normal.
450041,normal.
491306,normal.
3734,normal.
12026,normal.
37827,normal.
83309,normal.
19029,normal.
14563,normal.
28763,normal.
346374,normal.
142772,normal.
4525,normal.
19511,normal.
24317,normal.
81689,normal.
344865,normal.
146030,normal.
148286,normal.
36792,normal.
37916,normal.
35278,normal.
457177,normal.
15143,normal.
493342,normal.
30820,normal.
42247,normal.
459634,normal.
88870,normal.
2353,normal.
145988,normal.
481279,normal.
75474,normal.
457819,normal.
30840,normal.
344309,normal.
482615,normal.
491600,normal.
76710,normal.
38903,normal.
20367,normal.
107521,normal.
458847,normal.
7126,normal.
90123,normal.
456387,normal.
87234,normal.
107732,normal.
24757,normal.
76398,normal.
11612,normal.
76573,normal.
90910,normal.
483595,normal.
480389,normal.
15450,normal.
36562,normal.
104965,normal.
35838,normal.
493887,normal.
347031,normal.
75230,normal.
5293,normal.
344317,normal.
42680,normal.
4669,normal.
20531,normal.
42697,normal.
41036,normal.
145205,normal.
31665,normal.
139746,normal.
450043,normal.
270,normal.
23966,normal.
481844,normal.
11569,normal.
76358,normal.
452823,normal.
459756,normal.
37297,normal.
108046,normal.
452888,normal.
481206,normal.
145803,normal.
87453,normal.
90984,normal.
30638,normal.
38435,normal.
75165,normal.
107505,normal.
2443,normal.
13463,normal.
88198,normal.
42023,normal.
12004,normal.
29049,normal.
23555,normal.
32465,normal.
