,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
450116,13,2,10,2,24,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,0,0,201,147,69,1,1,0,0,0,0,0
17672,0,1,7,2,169,82,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,10,0,0,201,171,78,0,0,0,0,0,0,0
28372,0,1,7,2,66,69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,10,0,0,40,171,78,0,2,4,0,0,0,0
22447,0,1,7,2,187,248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,36,0,0,0,0,10,0,0,201,171,78,0,0,0,0,0,0,0
80315,19,1,7,2,72,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,33,1,2,0,0,10,0,0,201,171,78,0,0,0,0,0,0,0
104865,0,1,7,2,195,253,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,25,0,0,0,0,10,0,8,194,171,78,0,0,2,0,0,0,0
26476,0,1,7,2,69,471,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,15,0,0,0,0,10,0,12,201,171,78,0,0,0,0,0,0,0
486857,14,1,11,2,271,98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,138,61,36,2,1,0,0,0,0,0
148460,0,2,1,2,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,62,0,0,0,0,10,0,2,201,129,60,1,1,0,0,0,0,0
455290,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,0,0,48,171,78,0,2,12,0,0,26,27
141767,0,2,1,2,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,201,162,74,1,0,0,0,0,0,0
17474,0,1,7,2,175,426,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,10,0,0,27,171,78,0,4,5,0,0,0,0
12422,0,1,7,2,40,115,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,10,0,17,43,171,78,0,2,6,0,0,0,0
492922,0,1,7,2,155,383,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,0,0,87,171,78,0,1,1,1,0,0,0
79674,0,1,7,2,157,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,10,0,33,201,171,78,0,0,0,0,0,0,0
39621,1,1,11,2,264,129,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,39,132,71,8,3,1,0,0,0,0
25043,0,1,7,2,79,550,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,33,4,171,78,0,19,4,0,0,0,0
