,41
450116,normal.
17672,normal.
28372,normal.
22447,normal.
80315,normal.
104865,normal.
26476,normal.
486857,normal.
148460,normal.
455290,normal.
141767,normal.
17474,normal.
12422,normal.
492922,normal.
79674,normal.
39621,normal.
25043,normal.
12811,normal.
453658,normal.
78500,normal.
345523,normal.
81320,normal.
14889,normal.
28464,normal.
1938,normal.
37418,normal.
144049,normal.
455410,normal.
81837,normal.
452723,normal.
29398,normal.
451948,normal.
140229,normal.
146899,normal.
21247,normal.
38894,normal.
87364,normal.
32949,normal.
7429,normal.
349105,normal.
4234,normal.
37328,normal.
105528,normal.
344635,normal.
343521,normal.
33581,normal.
142530,normal.
137946,normal.
89192,normal.
81671,normal.
1010,normal.
7237,normal.
80654,normal.
346349,normal.
83562,normal.
1824,normal.
4442,normal.
26984,normal.
23199,normal.
5476,normal.
37694,normal.
345154,normal.
149343,normal.
17878,normal.
18958,normal.
30367,normal.
107515,normal.
16430,normal.
103704,normal.
14607,normal.
39163,normal.
1677,normal.
483282,normal.
27246,normal.
148400,normal.
484482,normal.
41334,normal.
83086,normal.
23786,normal.
16421,normal.
21934,normal.
83294,normal.
39384,normal.
491697,normal.
22650,normal.
82292,normal.
345522,normal.
89024,normal.
139644,normal.
138917,normal.
484721,normal.
86041,normal.
74979,normal.
78060,normal.
147800,normal.
21766,normal.
12757,normal.
348400,normal.
344110,normal.
484122,normal.
6639,normal.
74771,normal.
18848,normal.
491914,normal.
37434,normal.
50916,normal.
90812,normal.
89329,normal.
491061,normal.
117,normal.
482635,normal.
31018,normal.
136427,normal.
32669,normal.
491335,normal.
105335,normal.
145814,normal.
481589,normal.
17635,normal.
28941,normal.
17984,normal.
457500,normal.
77859,normal.
453920,normal.
345246,normal.
347604,normal.
89325,normal.
24747,normal.
455159,normal.
27975,normal.
346629,normal.
91060,normal.
148132,normal.
343120,normal.
146349,normal.
78763,normal.
136909,normal.
37450,normal.
78927,normal.
32097,normal.
105179,normal.
13969,normal.
107133,normal.
23007,normal.
921,normal.
103808,normal.
458840,normal.
75064,normal.
30152,normal.
346230,normal.
12813,normal.
29963,normal.
23001,normal.
42097,normal.
84873,normal.
348131,normal.
85770,normal.
346092,normal.
77137,normal.
80551,normal.
31663,normal.
491295,normal.
23583,normal.
12046,normal.
493443,normal.
20726,normal.
346887,normal.
3164,normal.
31020,normal.
137426,normal.
37246,normal.
3162,normal.
348629,normal.
19780,normal.
88480,normal.
24314,normal.
