,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
22650,1,1,11,2,253,126,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,79,111,44,2,1,2,0,0,0,0
5765,0,1,7,2,209,79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,0,0,201,171,78,0,0,0,0,0,0,0
1824,0,1,7,2,158,345,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,10,0,17,66,171,78,0,1,3,0,0,0,0
344866,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,0,0,201,138,65,2,0,0,0,0,21,28
451948,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,0,0,2,129,78,0,27,19,0,0,26,27
26547,0,2,1,2,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,10,0,0,44,24,51,4,34,0,0,0,0,0
82292,0,1,7,2,77,444,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,10,0,0,69,171,78,0,1,2,0,0,0,0
103884,0,2,1,2,17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,10,0,0,201,102,44,1,0,0,0,0,0,0
22736,0,1,6,2,106,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,25,67,8,8,8,3,0,0,0,0
81814,0,1,7,2,59,379,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,0,0,76,171,78,0,1,1,0,1,0,0
452271,3,1,11,2,233,108,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,54,116,28,7,2,1,0,0,0,0
18949,0,1,7,2,141,335,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,0,10,0,12,15,171,78,0,6,2,0,0,0,0
30073,0,1,7,2,92,416,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,171,78,0,60,4,0,0,0,0
12811,0,1,7,2,60,265,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,10,0,0,8,171,78,0,11,2,0,0,0,0
103808,0,0,14,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,5,0,201,18,9,1,9,0,0,0,0,0
12016,0,1,7,2,104,285,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,10,0,0,62,171,78,0,2,1,0,0,0,0
104067,0,0,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,48,37,78,0,60,0,0,0,0,0
28372,0,1,7,2,66,69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,10,0,0,40,171,78,0,2,4,0,0,0,0
