,Time,Total
10,2021-06-20 01:00:00,0
11,2021-06-20 01:05:00,4917
12,2021-06-20 01:10:00,11720
13,2021-06-20 01:15:00,11733
14,2021-06-20 01:20:00,11744
15,2021-06-20 01:25:00,11799
16,2021-06-20 01:30:00,11750
17,2021-06-20 01:35:00,11713
18,2021-06-20 01:40:00,11594
19,2021-06-20 01:45:00,11566
20,2021-06-20 01:50:00,11506
21,2021-06-20 01:55:00,11748
22,2021-06-20 02:00:00,11491
23,2021-06-20 02:05:00,11721
24,2021-06-20 02:10:00,11669
25,2021-06-20 02:15:00,11675
26,2021-06-20 02:20:00,11720
27,2021-06-20 02:25:00,11695
28,2021-06-20 02:30:00,3528
29,2021-06-20 02:35:00,0
